,,,,,Batting Stats,Batting Stats,Batting Stats,Batting Stats,Batting Stats,Batting Stats,Pitching Stats,Pitching Stats,Pitching Stats,Pitching Stats,Pitching Stats,Pitching Stats,,-additional
Year,Lg,Name,Tm,WAR,BA,OBP,SLG,HR,RBI,SB,W,L,SV,ERA,IP,SO,Voting,-9999
1974,AL,Jeff Burroughs,TEX,3.6,.301,.397,.504,25,118,2,,,,,,,Voting,burroje01
1974,NL,Steve Garvey,LAD,4.4,.312,.342,.469,21,111,5,,,,,,,Voting,garvest01
,,,,,,,,,,,,,,,,,,-9999
1973,AL,Reggie Jackson,OAK,7.8,.293,.383,.531,32,117,22,,,,,,,Voting,jacksre01
1973,NL,Pete Rose,CIN,8.3,.338,.401,.437,5,64,10,,,,,,,Voting,rosepe01
,,,,,,,,,,,,,,,,,,-9999
1972,AL,Dick Allen,CHW,8.6,.308,.420,.603,37,113,19,,,,,,,Voting,allendi01
1972,NL,Johnny Bench,CIN,8.6,.270,.379,.541,40,125,6,,,,,,,Voting,benchjo01
,,,,,,,,,,,,,,,,,,-9999
1971,AL,Vida Blue,OAK,8.5,.118,.167,.127,0,2,0,24,8,0,1.82,312.0,301,Voting,bluevi01
1971,NL,Joe Torre,STL,5.9,.363,.421,.555,24,137,4,,,,,,,Voting,torrejo01
,,,,,,,,,,,,,,,,,,-9999
1970,AL,Boog Powell,BAL,5.1,.297,.412,.549,35,114,1,,,,,,,Voting,powelbo01
1970,NL,Johnny Bench,CIN,7.4,.293,.345,.587,45,148,5,,,,,,,Voting,benchjo01
,,,,,,,,,,,,,,,,,,-9999
1969,AL,Harmon Killebrew,MIN,6.1,.276,.427,.584,49,140,8,,,,,,,Voting,killeha01
1969,NL,Willie McCovey,SFG,8.1,.320,.453,.656,45,126,0,,,,,,,Voting,mccovwi01
,,,,,,,,,,,,,,,,,,-9999
1968,AL,Denny McLain,DET,7.4,.162,.170,.189,0,4,0,31,6,0,1.96,336.0,280,Voting,mclaide01
1968,NL,Bob Gibson,STL,11.9,.170,.233,.223,0,6,1,22,9,0,1.12,304.2,268,Voting,gibsobo01
,,,,,,,,,,,,,,,,,,-9999
1967,AL,Carl Yastrzemski,BOS,12.5,.326,.418,.622,44,121,10,,,,,,,Voting,yastrca01
1967,NL,Orlando Cepeda,STL,6.8,.325,.399,.524,25,111,11,,,,,,,Voting,cepedor01
,,,,,,,,,,,,,,,,,,-9999
1966,AL,Frank Robinson,BAL,7.7,.316,.410,.637,49,122,8,,,,,,,Voting,robinfr02
1966,NL,Roberto Clemente,PIT,8.2,.317,.360,.536,29,119,7,,,,,,,Voting,clemero01
,,,,,,,,,,,,,,,,,,-9999
1965,AL,Zoilo Versalles,MIN,7.2,.273,.319,.462,19,77,27,,,,,,,Voting,versazo01
1965,NL,Willie Mays,SFG,11.2,.317,.398,.645,52,112,9,,,,,,,Voting,mayswi01
,,,,,,,,,,,,,,,,,,-9999
1964,AL,Brooks Robinson,BAL,8.1,.317,.368,.521,28,118,1,,,,,,,Voting,robinbr01
1964,NL,Ken Boyer,STL,6.1,.295,.365,.489,24,119,3,,,,,,,Voting,boyerke01
,,,,,,,,,,,,,,,,,,-9999
1963,AL,Elston Howard,NYY,5.2,.287,.342,.528,28,85,0,,,,,,,Voting,howarel01
1963,NL,Sandy Koufax,LAD,9.9,.064,.111,.091,1,7,0,25,5,0,1.88,311.0,306,Voting,koufasa01
,,,,,,,,,,,,,,,,,,-9999
1962,AL,Mickey Mantle,NYY,6.0,.321,.486,.605,30,89,9,,,,,,,Voting,mantlmi01
1962,NL,Maury Wills,LAD,6.0,.299,.347,.373,6,48,104,,,,,,,Voting,willsma01
,,,,,,,,,,,,,,,,,,-9999
1961,AL,Roger Maris,NYY,6.9,.269,.372,.620,61,141,0,,,,,,,Voting,marisro01
1961,NL,Frank Robinson,CIN,7.7,.323,.404,.611,37,124,22,,,,,,,Voting,robinfr02
,,,,,,,,,,,,,,,,,,-9999
1960,AL,Roger Maris,NYY,7.5,.283,.371,.581,39,112,2,,,,,,,Voting,marisro01
1960,NL,Dick Groat,PIT,6.1,.325,.371,.394,2,50,0,,,,,,,Voting,groatdi01
,,,,,,,,,,,,,,,,,,-9999
1959,AL,Nellie Fox,CHW,6.1,.306,.380,.389,2,70,5,,,,,,,Voting,foxne01
1959,NL,Ernie Banks,CHC,10.2,.304,.374,.596,45,143,2,,,,,,,Voting,bankser01
,,,,,,,,,,,,,,,,,,-9999
1958,AL,Jackie Jensen,BOS,4.9,.286,.396,.535,35,122,9,,,,,,,Voting,jenseja01
1958,NL,Ernie Banks,CHC,9.3,.313,.366,.614,47,129,4,,,,,,,Voting,bankser01
,,,,,,,,,,,,,,,,,,-9999
1957,AL,Mickey Mantle,NYY,11.3,.365,.512,.665,34,94,16,,,,,,,Voting,mantlmi01
1957,NL,Henry Aaron,MLN,8.0,.322,.378,.600,44,132,1,,,,,,,Voting,aaronha01
,,,,,,,,,,,,,,,,,,-9999
1956,AL,Mickey Mantle,NYY,11.2,.353,.464,.705,52,130,10,,,,,,,Voting,mantlmi01
1956,NL,Don Newcombe,BRO,5.3,.234,.312,.342,2,16,1,27,7,0,3.06,268.0,139,Voting,newcodo01
,,,,,,,,,,,,,,,,,,-9999
1955,AL,Yogi Berra,NYY,4.5,.272,.349,.470,27,108,1,,,,,,,Voting,berrayo01
1955,NL,Roy Campanella,BRO,5.2,.318,.395,.583,32,107,2,,,,,,,Voting,camparo01
,,,,,,,,,,,,,,,,,,-9999
1954,AL,Yogi Berra,NYY,5.3,.307,.367,.488,22,125,0,,,,,,,Voting,berrayo01
1954,NL,Willie Mays,NYG,10.5,.345,.411,.667,41,110,8,,,,,,,Voting,mayswi01
,,,,,,,,,,,,,,,,,,-9999
1953,AL,Al Rosen,CLE,10.2,.336,.422,.613,43,145,8,,,,,,,Voting,rosenal01
1953,NL,Roy Campanella,BRO,6.8,.312,.395,.611,41,142,4,,,,,,,Voting,camparo01
,,,,,,,,,,,,,,,,,,-9999
1952,AL,Bobby Shantz,PHA,9.4,.198,.252,.260,0,12,0,24,7,0,2.48,279.2,152,Voting,shantbo01
1952,NL,Hank Sauer,CHC,5.6,.270,.361,.531,37,121,1,,,,,,,Voting,sauerha01
,,,,,,,,,,,,,,,,,,-9999
1951,AL,Yogi Berra,NYY,5.3,.294,.350,.492,27,88,5,,,,,,,Voting,berrayo01
1951,NL,Roy Campanella,BRO,6.9,.325,.393,.590,33,108,1,,,,,,,Voting,camparo01
,,,,,,,,,,,,,,,,,,-9999
1950,AL,Phil Rizzuto,NYY,6.8,.324,.418,.439,7,66,12,,,,,,,Voting,rizzuph01
1950,NL,Jim Konstanty,PHI,4.4,.108,.108,.108,0,3,0,16,7,22,2.66,152.0,56,Voting,konstji01
,,,,,,,,,,,,,,,,,,-9999
1949,AL,Ted Williams,BOS,9.0,.343,.490,.650,43,159,1,,,,,,,Voting,willite01
1949,NL,Jackie Robinson,BRO,9.3,.342,.432,.528,16,124,37,,,,,,,Voting,robinja02
,,,,,,,,,,,,,,,,,,-9999
1948,AL,Lou Boudreau,CLE,10.4,.355,.453,.534,18,106,3,,,,,,,Voting,boudrlo01
1948,NL,Stan Musial,STL,11.3,.376,.450,.702,39,131,7,,,,,,,Voting,musiast01
,,,,,,,,,,,,,,,,,,-9999
1947,AL,Joe DiMaggio,NYY,4.7,.315,.391,.522,20,97,3,,,,,,,Voting,dimagjo01
1947,NL,Bob Elliott,BSN,6.5,.317,.410,.517,22,113,3,,,,,,,Voting,elliobo01
,,,,,,,,,,,,,,,,,,-9999
1946,AL,Ted Williams,BOS,10.6,.342,.497,.667,38,123,0,,,,,,,Voting,willite01
1946,NL,Stan Musial,STL,9.3,.365,.434,.587,16,103,7,,,,,,,Voting,musiast01
,,,,,,,,,,,,,,,,,,-9999
1945,AL,Hal Newhouser,DET,12.2,.257,.302,.321,0,17,0,25,9,2,1.81,313.1,212,Voting,newhoha01
1945,NL,Phil Cavarretta,CHC,6.0,.355,.449,.500,6,97,5,,,,,,,Voting,cavarph01
,,,,,,,,,,,,,,,,,,-9999
1944,AL,Hal Newhouser,DET,8.4,.242,.278,.275,0,5,1,29,9,2,2.22,312.1,187,Voting,newhoha01
1944,NL,Marty Marion,STL,4.6,.267,.324,.362,6,63,1,,,,,,,Voting,marioma01
,,,,,,,,,,,,,,,,,,-9999
1943,AL,Spud Chandler,NYY,7.3,.258,.287,.371,2,7,0,20,4,0,1.64,253.0,134,Voting,chandsp01
1943,NL,Stan Musial,STL,9.6,.357,.425,.562,13,81,9,,,,,,,Voting,musiast01
,,,,,,,,,,,,,,,,,,-9999
1942,AL,Joe Gordon,NYY,7.7,.322,.409,.491,18,103,12,,,,,,,Voting,gordojo01
1942,NL,Mort Cooper,STL,8.3,.184,.208,.194,0,7,0,22,7,0,1.78,278.2,152,Voting,coopemo01
,,,,,,,,,,,,,,,,,,-9999
1941,AL,Joe DiMaggio,NYY,9.4,.357,.440,.643,30,125,4,,,,,,,Voting,dimagjo01
1941,NL,Dolph Camilli,BRO,6.9,.285,.407,.556,34,120,3,,,,,,,Voting,camildo01
,,,,,,,,,,,,,,,,,,-9999
1940,AL,Hank Greenberg,DET,6.8,.340,.433,.670,41,150,6,,,,,,,Voting,greenha01
1940,NL,Frank McCormick,CIN,5.4,.309,.367,.482,19,127,2,,,,,,,Voting,mccorfr01
,,,,,,,,,,,,,,,,,,-9999
1939,AL,Joe DiMaggio,NYY,8.3,.381,.448,.671,30,126,3,,,,,,,Voting,dimagjo01
1939,NL,Bucky Walters,CIN,9.8,.325,.357,.433,1,16,1,27,11,0,2.29,319.0,137,Voting,waltebu01
,,,,,,,,,,,,,,,,,,-9999
1938,AL,Jimmie Foxx,BOS,7.5,.349,.462,.704,50,175,5,,,,,,,Voting,foxxji01
1938,NL,Ernie Lombardi,CIN,4.8,.342,.391,.524,19,95,0,,,,,,,Voting,lombaer01
,,,,,,,,,,,,,,,,,,-9999
1937,AL,Charlie Gehringer,DET,7.8,.371,.458,.520,14,96,11,,,,,,,Voting,gehrich01
1937,NL,Joe Medwick,STL,8.5,.374,.414,.641,31,154,4,,,,,,,Voting,medwijo01
,,,,,,,,,,,,,,,,,,-9999
